Game,Developer,Publisher,Release date,Sales,Platform,Genre
The Legend of Zelda: Ocarina of Time 3D,Grezzo,Nintendo,16-Jun-11,6340000,Nintendo 3DS,Action-adventure
Nintendogs + Cats,Nintendo EAD,Nintendo,26-Feb-11,4670000,Nintendo 3DS,Pet-raising simulation
Monster Hunter Generations,Capcom,Capcom,28-Nov-15,4300000,Nintendo 3DS,Action role-playing
The Legend of Zelda: A Link Between Worlds,Capcom,Capcom,22-Nov-13,4210000,Nintendo 3DS,Action-adventure
Monster Hunter 4 Ultimate,Nintendo EAD,Nintendo,13-Feb-15,4200000,Nintendo 3DS,Action role-playing
Monster Hunter 4,Capcom,Capcom,14-Sep-13,4100000,Nintendo 3DS,Action role-playing
Super Mario Maker for Nintendo 3DS,Nintendo EAD,Nintendo,1-Dec-16,3760000,Nintendo 3DS,"Level editor, platform"
Animal Crossing: Happy Home Designer,Nintendo EAD,Nintendo,2-Jul-15,3510000,Nintendo 3DS,Life simulation
The Legend of Zelda: Majora's Mask 3D,Grezzo,Nintendo,13-Feb-15,3360000,Nintendo 3DS,Action-adventure
Fire Emblem Fates: Birthright and Conquest,"Intelligent Systems, Nintendo SPD",Nintendo,25-Jun-15,3030000,Nintendo 3DS,Tactical role-playing
Mario Party: Island Tour,NDcube,Nintendo,22-Nov-13,2930000,Nintendo 3DS,Party
Donkey Kong Country Returns 3D,"Retro Studios, Monster Games",Nintendo,24-May-13,2910000,Nintendo 3DS,Platform
Yo-kai Watch,Level-5,Nintendo,11-Jul-13,2780000,Nintendo 3DS,Role-playing
Mario & Luigi: Dream Team,"AlphaDream, Good-Feel",Nintendo,12-Jul-13,2670000,Nintendo 3DS,Role-playing
Kirby: Triple Deluxe,HAL Laboratory,Nintendo,11-Jan-14,2630000,Nintendo 3DS,"Action, platform"
Monster Hunter 3 Ultimate,Capcom,Capcom,10-Dec-11,2600000,Nintendo 3DS,Action role-playing
Paper Mario: Sticker Star,Intelligent Systems,Nintendo,11-Nov-12,2480000,Nintendo 3DS,Role-playing
Fire Emblem Awakening,"Intelligent Systems, Nintendo SPD",Nintendo,19-Apr-12,2330000,Nintendo 3DS,Tactical role-playing
Yo-kai Watch Blasters: Red Cat Corps and White Dog Squad,Level-5,Nintendo,11-Jul-15,2200000,Nintendo 3DS,Role-playing
Yoshi's New Island,Arzest,Nintendo,14-Mar-14,2040000,Nintendo 3DS,Platform
Lego City Undercover: The Chase Begins,TT Fusion,Nintendo,21-Apr-13,2040000,Nintendo 3DS,Action-adventure
Monster Hunter XX,Capcom,Capcom,18-Mar-17,1800000,Nintendo 3DS,Action role-playing
Dragon Quest XI: Echoes of an Elusive Age,Square Enix,Square Enix,29-Jul-17,1740000,Nintendo 3DS,Role-playing
Pokémon Super Mystery Dungeon,Spike Chunsoft,"The Pokémon Company, Nintendo",17-Sep-15,1660000,Nintendo 3DS,Roguelike
Kirby: Planet Robobot,HAL Laboratory,Nintendo,28-Apr-16,1600000,Nintendo 3DS,"Action, platform"
Mario Tennis Open,Camelot Software Planning,Nintendo,20-May-12,1570000,Nintendo 3DS,Sports
Puzzle & Dragons Z: Pazudora Z,GungHo Online Entertainment,GungHo Online Entertainment,12-Dec-13,1500000,Nintendo 3DS,Puzzle
Pokémon Red / Green / Blue / Yellowd,Game Freak,Nintendo,27-Feb-16,1500000,Nintendo 3DS,Role-playing
Style Savvy: Trendsetters,Syn Sophia,Nintendo,27-Sep-12,1440000,Nintendo 3DS,Simulation
Pokémon Rumble Blast,Ambrella,"The Pokémon Company, Nintendo",11-Aug-11,1400000,Nintendo 3DS,"Action role-playing, beat 'em up"
Pokémon Mystery Dungeon: Gates to Infinity,Spike Chunsoft,"The Pokémon Company, Nintendo",23-Nov-12,1380000,Nintendo 3DS,Roguelike
Kid Icarus: Uprising,"Nintendo EPD, Grezzo",Nintendo,22-Mar-12,1360000,Nintendo 3DS,"Third-person shooter, shoot 'em up"
The Legend of Zelda: Tri Force Heroes,"Project Sora, Sora Ltd.",Nintendo,22-Oct-15,1360000,Nintendo 3DS,Action-adventure
Super Street Fighter IV: 3D Edition,Level-5,Level-5,26-Feb-11,1300000,Nintendo 3DS,Fighting
Yo-kai Watch 3: Sushi and Tempura,"Dimps, Capcom",Capcom,16-Jul-16,1300000,Nintendo 3DS,Role-playing
Dragon Quest VII: Fragments of the Forgotten Past,"Heartbeat, ArtePiazza","JP: Square Enix, WW: Nintendo",7-Feb-13,1230000,Nintendo 3DS,Role-playing
Miitopia,Nintendo EPD,Nintendo,8-Dec-16,1210000,Nintendo 3DS,Role-playing
Mario & Luigi: Paper Jam,AlphaDream,Nintendo,3-Dec-15,1070000,Nintendo 3DS,Role-playing
Star Fox 64 3D,"Nintendo EAD, Q-Games",Nintendo,14-Jul-11,1050000,Nintendo 3DS,Rail shooter
Professor Layton and the Miracle Mask,Level-5,"JP: Level-5, WW: Nintendo",26-Feb-11,1020000,Nintendo 3DS,"Puzzle, adventure"
Rhythm Heaven Megamix,Nintendo SPD,Nintendo,11-Jun-15,1010000,Nintendo 3DS,Rhythm
Bravely Default,Mixi,Xflag,11-Oct-12,1000000,Nintendo 3DS,Role-playing
Fantasy Life,Square Enix,Square Enix,27-Dec-12,1000000,Nintendo 3DS,Role-playing
Monster Strike,Level-5,"JP: Level-5, WW: Nintendo",17-Dec-15,1000000,Nintendo 3DS,Role-playing
Kingdom Hearts 3D: Dream Drop Distance,Silicon Studio,Nintendo,29-Mar-12,1000000,Nintendo 3DS,Action role-playing
Mario Kart 8 Deluxe,Nintendo EPD,Nintendo,28-Apr-17,45330000,Nintendo Switch,Kart racing
Animal Crossing: New Horizons,Nintendo EPD,Nintendo,20-Mar-20,38640000,Nintendo Switch,Social simulation
Super Smash Bros. Ultimate,"Bandai Namco Studios, Sora Ltd.",Nintendo,7-Dec-18,28170000,Nintendo Switch,Fighting
The Legend of Zelda: Breath of the Wild,Nintendo EPD,Nintendo,3-Mar-17,26550000,Nintendo Switch,Action-adventure
Pokémon Sword and Shield,Game Freak,"The Pokémon Company,Nintendo",15-Nov-19,24270000,Nintendo Switch,Role-playing
Super Mario Odyssey,Nintendo EPD,Nintendo,27-Oct-17,23500000,Nintendo Switch,Platformer
Super Mario Party,NDcube,Nintendo,5-Oct-18,17780000,Nintendo Switch,Party
Pokémon Brilliant Diamond and Shining Pearl,ILCA,"The Pokémon Company, Nintendo",19-Nov-21,14650000,Nintendo Switch,Role-playing
"Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!",Game Freak,"The Pokémon Company, Nintendo",16-Nov-18,14530000,Nintendo Switch,Role-playing
Ring Fit Adventure,Nintendo EPD,Nintendo,18-Oct-19,14090000,Nintendo Switch,"Exergame, role-playing"
New Super Mario Bros. U Deluxe,Nintendo EPD,Nintendo,11-Jan-19,13310000,Nintendo Switch,Platformer
Splatoon 2,Nintendo EPD,Nintendo,21-Jul-17,13300000,Nintendo Switch,Third-person shooter
Pokémon Legends: Arceus,Game Freak,"The Pokémon Company, Nintendo",28-Jan-22,12640000,Nintendo Switch,Action role-playing
Luigi's Mansion 3,Next Level Games,Nintendo,31-Oct-19,11430000,Nintendo Switch,Action-adventure
Super Mario 3D World + Bowser's Fury,Nintendo EPD,Nintendo,12-Feb-21,9430000,Nintendo Switch,Platformer
Super Mario 3D All-Stars,Nintendo,Nintendo,18-Sep-20,9010000,Nintendo Switch,"Platformer, compilation"
Monster Hunter Rise,Capcom,Capcom,26-Mar-21,7700000,Nintendo Switch,Action role-playing
Super Mario Maker 2,Nintendo EPD,Nintendo,28-Jun-19,7150000,Nintendo Switch,"Platformer, Level editor"
Mario Party Superstars,NDcube,Nintendo,29-Oct-21,6880000,Nintendo Switch,Party
The Legend of Zelda: Link's Awakening,Grezzo,Nintendo,20-Sep-19,5490000,Nintendo Switch,Action-adventure
Clubhouse Games: 51 Worldwide Classics,NDcube,Nintendo,5-Jun-20,4220000,Nintendo Switch,Tabletop game
Hyrule Warriors: Age of Calamity,Omega Force,"JP: Koei Tecmo, NA/PAL: Nintendo",20-Nov-20,4000000,Nintendo Switch,Hack and slash
The Legend of Zelda: Skyward Sword HD,Tantalus Media,Nintendo,16-Jul-21,3910000,Nintendo Switch,Action-adventure
Mario Tennis Aces,Camelot Software Planning,Nintendo,22-Jun-18,3660000,Nintendo Switch,Sports
"Momotaro Dentetsu: Showa, Heisei, Reiwa Mo Teiban!",Konami,JP: Konami,19-Nov-20,3500000,Nintendo Switch,Board game
1-2-Switch,Nintendo EPD,Nintendo,3-Mar-17,3450000,Nintendo Switch,Party
Kirby Star Allies,HAL Laboratory,Nintendo,16-Mar-18,3420000,Nintendo Switch,Platformer
Donkey Kong Country: Tropical Freeze,Retro Studios,Nintendo,4-May-18,3420000,Nintendo Switch,Platformer
Fire Emblem: Three Houses,"Intelligent Systems, Koei Tecmo",Nintendo,26-Jul-19,3400000,Nintendo Switch,Tactical role-playing
Among Us,Innersloth,Innersloth,15-Dec-20,3200000,Nintendo Switch,"Party, social deduction"
Minecraft,Mojang,"JP: Xbox Game Studios, NA/PAL: Mojang",11-May-17,3140000,Nintendo Switch,"Sandbox, survival"
Paper Mario: The Origami King,Intelligent Systems,Nintendo,17-Jul-20,3120000,Nintendo Switch,"Role-playing, action-adventure"
Metroid Dread,"MercurySteam, Nintendo EPD",Nintendo,8-Oct-21,2900000,Nintendo Switch,Action-adventure
New Pokémon Snap,Bandai Namco Studios,"JP: The Pokémon Company, NA/PAL: Nintendo",30-Apr-21,2740000,Nintendo Switch,Photography
Kirby and the Forgotten Land,HAL Laboratory,Nintendo,25-Mar-22,2650000,Nintendo Switch,Platformer
Yoshi's Crafted World,Good-Feel,Nintendo,29-Mar-19,2560000,Nintendo Switch,Platformer
Arms,Nintendo EPD,Nintendo,16-Jun-17,2560000,Nintendo Switch,Fighting
Mario Golf: Super Rush,Camelot Software Planning,Nintendo,25-Jun-21,2350000,Nintendo Switch,Sports
Xenoblade Chronicles 2,Monolith Soft,Nintendo,1-Dec-17,2170000,Nintendo Switch,Action role-playing
Octopath Traveler,"Square Enix, Acquire","JP: Square Enix, NA/PAL: Nintendo",13-Jul-18,2080000,Nintendo Switch,Role-playing
Pikmin 3 Deluxe,"Nintendo EPD, Eighting",Nintendo,30-Oct-20,2040000,Nintendo Switch,"Real-time strategy, puzzle"
Mario + Rabbids Kingdom Battle,"Ubisoft Paris, Ubisoft Milan",NA/PAL: Ubisoft JP/KOR: Nintendo20,29-Aug-17,2000000,Nintendo Switch,Tactical role-playing
Captain Toad: Treasure Tracker,Nintendo EPD,Nintendo,13-Jul-18,1770000,Nintendo Switch,Action puzzle
Miitopia,Grezzo,Nintendo,21-May-21,1680000,Nintendo Switch,Role-playing
Pokémon Mystery Dungeon: Rescue Team DX,Spike Chunsoft,Nintendo,6-Mar-20,1600000,Nintendo Switch,Roguelike
Big Brain Academy: Brain vs. Brain,Nintendo EPD,Nintendo,3-Dec-21,1590000,Nintendo Switch,Puzzle
Xenoblade Chronicles: Definitive Edition,Monolith Soft,Nintendo,29-May-20,1520000,Nintendo Switch,Action role-playing
Pokkén Tournament DX,Bandai Namco Studios,"JP: The Pokémon Compan, NA/PAL: Nintendoy",22-Sep-17,1510000,Nintendo Switch,Fighting
Nintendo Labo Toy-Con 01: Variety Kit,Nintendo EPD,Nintendo,20-Apr-18,1420000,Nintendo Switch,Construction kit
Dragon Ball FighterZ,Arc System Works,Bandai Namco Entertainment,27-Sep-18,1380000,Nintendo Switch,Fighting
Taiko no Tatsujin: Drum 'n' Fun!,Bandai Namco Studios,Bandai Namco Entertainment,19-Jul-18,1340000,Nintendo Switch,Rhythm
Marvel Ultimate Alliance 3: The Black Order,Team Ninja,Nintendo,19-Jul-19,1310000,Nintendo Switch,Action role-playing
Mario Kart Live: Home Circuit,Velan Studios,Nintendo,16-Oct-20,1270000,Nintendo Switch,"Kart racing, augmented reality"
WarioWare: Get It Together!,"Nintendo EPD, Intelligent Systems",Nintendo,10-Sep-21,1270000,Nintendo Switch,Party
Dragon Ball Xenoverse 2,Dimps,Bandai Namco Entertainment,7-Sep-17,1270000,Nintendo Switch,Fighting
Astral Chain,PlatinumGames,Nintendo,30-Aug-19,1210000,Nintendo Switch,Action-adventure
Resident Evil Revelations Collection,Capcom,Capcom,27-Nov-17,1100000,Nintendo Switch,Survival horror
Game Builder Garage,Nintendo EPD,Nintendo,11-Jun-21,1060000,Nintendo Switch,Programming
Dr Kawashima's Brain Training for Nintendo Switch,"Nintendo EPD, indieszero",Nintendo,27-Dec-19,1050000,Nintendo Switch,Puzzle
Enter the Gungeon,Dodge Roll,Devolver Digital,14-Dec-17,1000000,Nintendo Switch,Bullet hell
Fitness Boxing,Imagineer,"JP: Imagineer, NA/PAL: Nintendo",20-Dec-18,1000000,Nintendo Switch,"Exergame, rhythm"
Fitness Boxing 2: Rhythm and Exercise,Imagineer,"JP: Imagineer, NA/PAL: Nintendo",4-Dec-20,1000000,Nintendo Switch,"Exergame, rhythm"
Shin Megami Tensei V,Atlus,"JP: Atlus, NA: Sega, PAL: Nintendo",11-Nov-21,1000000,Nintendo Switch,Role-playing
Story of Seasons: Pioneers of Olive Town,Marvelous,Xseed Games,25-Feb-21,1000000,Nintendo Switch,"Simulation, role-playing"
Thief Simulator,Noble Muffins,Forever Entertainment,19-May-19,1000000,Nintendo Switch,Stealth
